packet_length,src_port,dst_port,protocol,timestamp
1514,80,57043,6,1741910942.3870628
1514,80,57043,6,1741910942.3870628
1514,80,57043,6,1741910942.3870628
54,57043,80,6,1741910942.3870628
1514,80,57043,6,1741910942.3870628
1514,80,57043,6,1741910942.3998804
54,57043,80,6,1741910942.4009478
1514,80,57043,6,1741910942.4032795
1514,80,57043,6,1741910942.4044173
54,57043,80,6,1741910942.405426
1514,80,57043,6,1741910942.406516
1514,80,57043,6,1741910942.4076009
1514,80,57043,6,1741910942.4098089
1514,80,57043,6,1741910942.411896
54,57043,80,6,1741910942.4141884
1514,80,57043,6,1741910942.415553
1514,80,57043,6,1741910942.4170856
1514,80,57043,6,1741910942.4185529
1514,80,57043,6,1741910942.4205801
54,57043,80,6,1741910942.4215767
1514,80,57043,6,1741910942.4225745
1514,80,57043,6,1741910942.4245684
1514,80,57043,6,1741910942.4260473
1514,80,57043,6,1741910942.427053
1514,80,57043,6,1741910942.4294472
1514,80,57043,6,1741910942.4304535
1514,80,57043,6,1741910942.431786
1514,80,57043,6,1741910942.4357386
1514,80,57043,6,1741910942.4370127
1514,80,57043,6,1741910942.438414
54,57043,80,6,1741910942.43942
1514,80,57043,6,1741910942.4408174
1514,80,57043,6,1741910942.4419317
54,57043,80,6,1741910942.4444478
1514,80,57043,6,1741910942.4456344
1514,80,57043,6,1741910942.4489357
1514,80,57043,6,1741910942.4499543
1514,80,57043,6,1741910942.4520586
54,57043,80,6,1741910942.4535384
1514,80,57043,6,1741910942.4545343
1514,80,57043,6,1741910942.4565287
54,57043,80,6,1741910942.4575267
1514,80,57043,6,1741910942.4602163
1514,80,57043,6,1741910942.4613822
1514,80,57043,6,1741910942.4638867
54,57043,80,6,1741910942.4649153
1514,80,57043,6,1741910942.46629
1514,80,57043,6,1741910942.4674692
54,57043,80,6,1741910942.4685678
1514,80,57043,6,1741910942.4698892
1514,80,57043,6,1741910942.4722357
1514,80,57043,6,1741910942.473268
1514,80,57043,6,1741910942.47445
54,57043,80,6,1741910942.476988
1514,80,57043,6,1741910942.4780085
1514,80,57043,6,1741910942.4806345
1514,80,57043,6,1741910942.4806345
1514,80,57043,6,1741910942.4806345
54,57043,80,6,1741910942.4806345
1514,80,57043,6,1741910942.4862454
1514,80,57043,6,1741910942.4872842
1514,80,57043,6,1741910942.4893966
54,57043,80,6,1741910942.490416
